Configuration,Epoch,Training Precision@5,Validation Precision@5
Training bpr-0.05-20,3,0.4546184241771698,0.13838309049606323
Training bpr-0.05-20,4,0.46935373544692993,0.14247764647006989
Training bpr-0.05-20,5,0.4769006371498108,0.1438368260860443
Training bpr-0.05-20,6,0.48415303230285645,0.1452920138835907
Training bpr-0.05-20,7,0.4893827438354492,0.1463674008846283
Training bpr-0.05-20,8,0.492160826921463,0.1458296924829483
Training bpr-0.05-20,9,0.495344340801239,0.14599184691905975
Training bpr-0.05-20,10,0.49689337611198425,0.14619454741477966
Training bpr-0.05-40,1,0.31828150153160095,0.10313653945922852
Training bpr-0.05-40,2,0.44277423620224,0.13566049933433533
Training bpr-0.05-40,3,0.47066378593444824,0.1418311595916748
Training bpr-0.05-40,4,0.48359403014183044,0.14376214146614075
Training bpr-0.05-40,5,0.49076321721076965,0.14470738172531128
Training bpr-0.05-40,6,0.49633437395095825,0.14488233625888824
Training bpr-0.05-40,7,0.5011245012283325,0.14490367472171783
Training bpr-0.05-40,8,0.5027973055839539,0.1439456343650818
Training bpr-0.05-40,9,0.50602126121521,0.14358504116535187
Training bpr-0.05-40,10,0.5096315741539001,0.1433546096086502
Training bpr-0.05-80,1,0.29963088035583496,0.09717712551355362
Training bpr-0.05-80,2,0.45119383931159973,0.13643929362297058
Training bpr-0.05-80,3,0.4775172173976898,0.14251819252967834
Training bpr-0.05-80,4,0.48932722210884094,0.14336740970611572
Training bpr-0.05-80,5,0.49915289878845215,0.14286385476589203
Training bpr-0.05-80,6,0.5055156350135803,0.14308574795722961
Training bpr-0.05-80,7,0.5107921957969666,0.1425800770521164
Training warp-0.005-20,1,0.21246078610420227,0.0713188424706459
Training warp-0.005-20,2,0.253715842962265,0.08534363657236099
Training warp-0.005-20,3,0.26559415459632874,0.08954702317714691
Training warp-0.005-20,4,0.2728913724422455,0.09215865284204483
Training warp-0.005-20,5,0.2755393087863922,0.09303561598062515
Training warp-0.005-20,6,0.27621352672576904,0.09322337806224823
Training warp-0.005-20,7,0.27534085512161255,0.0931636393070221
Training warp-0.005-20,8,0.2754240930080414,0.09298653900623322
Training warp-0.005-20,9,0.27777114510536194,0.09387203305959702
Training warp-0.005-20,10,0.2783600389957428,0.09409178793430328
Training warp-0.005-40,1,0.2426120787858963,0.08211535215377808
Training warp-0.005-40,2,0.2620692551136017,0.08864019811153412
Training warp-0.005-40,3,0.26248958706855774,0.0886380672454834
Training warp-0.005-40,4,0.2683210074901581,0.09097445011138916
Training warp-0.005-40,5,0.2697783410549164,0.09138412773609161
Training warp-0.005-40,6,0.270832359790802,0.09179166704416275
Training warp-0.005-40,7,0.27389633655548096,0.09289906173944473
Training warp-0.005-40,8,0.274653822183609,0.09305480867624283
Training warp-0.005-40,9,0.275306761264801,0.09334500133991241
Training warp-0.005-40,10,0.27497175335884094,0.0930740237236023
Training warp-0.005-80,1,0.23325154185295105,0.07840698212385178
Training warp-0.005-80,2,0.2594725787639618,0.08759894967079163
Training warp-0.005-80,3,0.2662619650363922,0.08991188555955887
Training warp-0.005-80,4,0.2647811770439148,0.08973050862550735
Training warp-0.005-80,5,0.270542174577713,0.09181087464094162
