Configuration,Epoch,Training Precision@5,Validation Precision@5
Training warp-0.01-100,7,0.30123115,0.10129515
Training warp-0.01-100,8,0.30754048,0.10334138
Training warp-0.01-100,9,0.3108947,0.10455758
Training warp-0.01-100,10,0.31765208,0.106966525
Training warp-0.05-20,1,0.30537266,0.101154335
Training warp-0.05-20,2,0.33401966,0.11089253
Training warp-0.05-20,3,0.35365182,0.11747285
Training warp-0.05-20,4,0.36681253,0.121710375
Training warp-0.05-20,5,0.37842408,0.12586896
Training warp-0.05-20,6,0.38669217,0.12808375
Training warp-0.05-20,7,0.39270914,0.13003607
Training warp-0.05-20,8,0.39821413,0.13191159
Training warp-0.05-20,9,0.40471762,0.13382338
Training warp-0.05-20,10,0.4095504,0.13554527
Training warp-0.05-40,1,0.31666845,0.10390467
Training warp-0.05-40,2,0.3548467,0.1159174
Training warp-0.05-40,3,0.3782619,0.12346001
Training warp-0.05-40,4,0.39372057,0.1286769
Training warp-0.05-40,5,0.40472192,0.13245355
Training warp-0.05-40,6,0.4132908,0.13505025
Training warp-0.05-40,7,0.41927367,0.13598055
Training warp-0.05-40,8,0.42578146,0.13825294
Training warp-0.05-40,9,0.43114346,0.14019461
Training warp-0.05-40,10,0.43551967,0.14143214
Training warp-0.05-80,1,0.33705592,0.10707961
Training warp-0.05-80,2,0.37722492,0.11860372
Training warp-0.05-80,3,0.40488407,0.12750123
Training warp-0.05-80,4,0.4224358,0.1324514
Training warp-0.05-80,5,0.43471318,0.13532336
Training warp-0.05-80,6,0.44090512,0.13744213
Training warp-0.05-80,7,0.44777557,0.13930272
Training warp-0.05-80,8,0.45324215,0.14017114
Training warp-0.05-80,9,0.4569378,0.14146627
Training warp-0.05-80,10,0.4590352,0.14175647
Training warp-0.05-100,1,0.34590864,0.10738686
Training warp-0.05-100,2,0.3915164,0.121586636
Training warp-0.05-100,3,0.41904327,0.1290311
Training warp-0.05-100,4,0.43111145,0.13254316
Training warp-0.05-100,5,0.440664,0.13515267
Training warp-0.05-100,6,0.44825786,0.13649265
Training warp-0.05-100,7,0.4538823,0.13831483
Training warp-0.05-100,8,0.4590714,0.13966545
Training warp-0.05-100,9,0.4642286,0.14090726
Training warp-0.05-100,10,0.46813115,0.14181621
